latitude,longitude,temperature_c,temperature_max_c,temperature_min_c,temperature_range_c,precipitation_mm_day,soil_organic_carbon_g_per_kg,soil_ph,soil_source_distance_m,soil_ph_source_distance_m,gbif_occurrence_records,gbif_sampled_records,observed_species_count_sample,observed_genera_count_sample,observed_families_count_sample,observed_orders_count_sample,observed_kingdom_count_sample,species_per_1000_records
8.5,69.0,28.012,29.865,25.778,4.087,3.212,,,,,0,0,0,0,0,0,0,
8.5,72.0,28.003,29.875,25.683,4.192,3.605,,,,,0,0,0,0,0,0,0,
8.5,75.0,27.918,29.768,25.266,4.502,4.648,,,,,0,0,0,0,0,0,0,
8.5,78.0,27.929,34.791,23.064,11.727,2.867,27.9,7.5,0.0,0.0,5848,300,127,124,74,39,2,21.716826
8.5,81.0,27.801,34.155,23.478,10.677,4.282,35.8,5.9,0.0,0.0,721,300,64,125,133,99,6,88.765603
8.5,84.0,28.136,30.081,25.778,4.303,3.65,,,,,0,0,0,0,0,0,0,
8.5,87.0,28.074,29.825,25.586,4.239,4.885,,,,,0,0,0,0,0,0,0,
8.5,90.0,28.081,29.737,25.889,3.848,5.575,,,,,0,0,0,0,0,0,0,
11.0,69.0,27.892,29.688,25.648,4.04,2.482,,,,,0,0,0,0,0,0,0,
11.0,72.0,28.045,29.865,25.668,4.197,3.459,,,,,13,13,9,9,9,6,1,692.307692
11.0,75.0,27.958,30.007,25.425,4.582,6.381,,,,,60,60,19,17,14,10,2,316.666667
11.0,78.0,27.482,39.862,17.212,22.65,2.084,18.5,7.2,0.0,0.0,1586,300,70,66,46,25,2,44.136192
11.0,81.0,28.151,30.604,25.682,4.922,3.458,,,,,2,2,0,0,0,2,1,0.0
11.0,84.0,28.077,29.933,25.764,4.169,3.724,,,,,0,0,0,0,0,0,0,
11.0,87.0,28.016,29.72,25.729,3.991,4.514,,,,,2,2,0,0,0,2,1,0.0
11.0,90.0,28.008,29.903,25.438,4.465,5.543,,,,,0,0,0,0,0,0,0,
13.5,69.0,27.658,29.698,24.948,4.75,1.939,,,,,0,0,0,0,0,0,0,
13.5,72.0,28.022,29.975,25.473,4.502,3.274,,,,,0,0,0,0,0,0,0,
13.5,75.0,25.382,33.876,18.348,15.528,9.138,20.4,5.6,0.0,0.0,46133,300,162,146,92,42,2,3.511586
13.5,78.0,23.983,36.224,13.824,22.4,2.222,8.2,6.6,0.0,0.0,1343,300,74,64,41,19,1,55.100521
13.5,81.0,28.079,30.504,25.291,5.213,3.635,,,,,0,0,0,0,0,0,0,
13.5,84.0,27.949,30.028,25.323,4.705,3.964,,,,,1,1,0,0,0,1,1,0.0
13.5,87.0,27.871,29.874,25.484,4.39,4.642,,,,,0,0,0,0,0,0,0,
13.5,90.0,27.804,29.7,25.283,4.417,5.224,,,,,0,0,0,0,0,0,0,
16.0,69.0,27.417,29.612,24.662,4.95,1.617,,,,,1,1,1,1,1,1,1,1000.0
16.0,72.0,27.906,29.94,24.999,4.941,2.292,,,,,0,0,0,0,0,0,0,
16.0,75.0,25.208,37.823,14.252,23.571,2.167,11.0,6.8,0.0,0.0,74,74,32,34,29,16,2,432.432432
16.0,78.0,27.339,40.303,16.025,24.278,2.005,12.3,7.9,0.0,0.0,165,165,97,89,57,28,2,587.878788
16.0,81.0,28.012,34.33,23.281,11.049,3.068,16.9,6.5,0.0,0.0,95,95,66,59,47,29,4,694.736842
16.0,84.0,27.807,30.174,25.25,4.924,3.528,,,,,0,0,0,0,0,0,0,
16.0,87.0,27.667,29.696,25.097,4.599,4.661,,,,,3,3,0,0,0,2,1,0.0
16.0,90.0,27.548,29.582,24.892,4.69,5.282,,,,,2,2,0,1,1,2,1,0.0
18.5,69.0,27.196,29.604,24.096,5.508,1.448,,,,,0,0,0,0,0,0,0,
18.5,72.0,27.537,29.815,24.505,5.31,2.228,,,,,1,1,0,0,0,1,1,0.0
18.5,75.0,25.979,39.009,13.975,25.034,1.682,8.2,8.0,0.0,0.0,4864,300,80,74,44,19,1,16.447368
18.5,78.0,26.822,39.646,14.638,25.008,2.327,7.1,8.2,0.0,0.0,197,197,69,63,38,19,2,350.253807
18.5,81.0,25.957,38.818,14.919,23.899,4.024,11.8,6.4,0.0,0.0,3,3,3,3,3,1,1,1000.0
18.5,84.0,26.918,38.63,17.836,20.794,3.485,14.0,6.4,0.0,0.0,162,162,54,51,36,21,2,333.333333
18.5,87.0,27.503,29.681,24.723,4.958,4.22,,,,,0,0,0,0,0,0,0,
18.5,90.0,27.332,29.516,24.535,4.981,5.422,,,,,0,0,0,0,0,0,0,
21.0,69.0,26.891,29.813,23.418,6.395,1.704,,,,,0,0,0,0,0,0,0,
21.0,72.0,27.092,35.633,19.253,16.38,2.472,,,,,130,130,8,49,58,45,3,61.538462
21.0,75.0,27.003,40.768,14.06,26.708,2.09,6.0,7.5,0.0,0.0,705,300,55,51,33,15,1,78.014184
21.0,78.0,26.819,40.224,13.935,26.289,2.781,8.0,7.5,0.0,0.0,2166,300,104,96,55,19,2,48.014774
21.0,81.0,25.987,39.195,12.95,26.245,3.664,8.3,7.3,0.0,0.0,605,300,113,95,53,20,2,186.77686
21.0,84.0,26.616,38.946,14.487,24.459,3.858,9.9,6.6,0.0,0.0,1633,300,86,78,45,17,1,52.663809
21.0,87.0,26.697,36.214,19.153,17.061,5.064,,,,,1,1,1,1,1,1,1,1000.0
21.0,90.0,27.051,29.648,23.623,6.025,10.805,,,,,1,1,1,1,1,1,1,1000.0
23.5,69.0,26.599,39.578,14.798,24.78,1.104,5.0,7.0,0.0,0.0,3528,300,117,94,50,19,2,33.163265
23.5,72.0,27.659,42.202,13.985,28.217,1.755,6.5,7.4,0.0,0.0,844,300,100,81,47,20,2,118.483412
23.5,75.0,25.506,40.339,12.445,27.894,2.358,6.8,7.8,0.0,0.0,3126,300,101,88,50,21,1,32.309661
23.5,78.0,25.293,39.343,11.593,27.75,3.41,6.5,7.8,0.0,0.0,1,1,1,1,1,1,1,1000.0
23.5,81.0,24.999,38.734,11.685,27.049,3.205,6.5,7.3,0.0,0.0,7423,300,88,73,48,20,2,11.855045
23.5,84.0,23.413,35.993,11.159,24.834,3.408,20.9,6.6,0.0,0.0,2,2,1,1,1,1,1,500.0
23.5,87.0,25.351,38.432,13.5,24.932,3.825,9.6,6.1,0.0,0.0,7515,300,89,75,47,17,2,11.842981
23.5,90.0,25.712,36.672,15.215,21.457,5.289,14.1,5.5,0.0,0.0,491,300,81,64,37,17,2,164.96945
26.0,69.0,28.462,44.495,12.473,32.022,0.468,6.0,8.2,0.0,0.0,299,299,98,97,59,24,4,327.759197
26.0,72.0,27.388,41.91,13.09,28.82,0.855,3.8,8.1,0.0,0.0,1,1,1,1,1,1,1,1000.0
26.0,75.0,25.778,41.325,11.155,30.17,1.52,4.8,7.6,0.0,0.0,207,207,102,89,48,19,2,492.753623
26.0,78.0,26.293,41.673,12.037,29.636,1.937,6.0,7.6,0.0,0.0,443,300,115,97,53,21,3,259.593679
26.0,81.0,26.278,41.54,12.255,29.285,2.354,5.6,7.1,0.0,0.0,63,63,40,37,29,20,3,634.920635
26.0,84.0,26.056,40.431,12.806,27.625,2.594,8.3,7.2,0.0,0.0,32,32,22,20,16,13,2,687.5
26.0,87.0,25.568,38.677,13.154,25.523,3.171,14.7,6.6,0.0,0.0,8,8,2,2,2,2,2,250.0
26.0,90.0,24.556,35.235,13.95,21.285,5.907,20.6,5.6,0.0,0.0,987,300,87,78,51,21,2,88.145897
28.5,69.0,28.965,44.549,12.928,31.621,0.446,1.8,8.2,0.0,0.0,1,1,1,1,1,1,1,1000.0
28.5,72.0,28.025,42.402,12.634,29.768,0.536,2.9,8.0,0.0,0.0,5,5,2,2,1,1,1,400.0
28.5,75.0,26.464,40.84,11.948,28.892,1.172,4.6,8.0,0.0,0.0,1,1,1,1,1,1,1,1000.0
28.5,78.0,25.383,41.077,10.943,30.134,2.262,7.6,7.9,0.0,0.0,5,5,5,5,5,5,2,1000.0
28.5,81.0,24.723,38.776,13.333,25.443,3.402,15.8,6.4,0.0,0.0,1582,300,117,94,57,27,2,73.957016
28.5,84.0,8.127,20.19,-4.628,24.818,3.586,63.5,6.6,0.0,0.0,1321,300,90,63,37,14,2,68.130204
28.5,87.0,-3.116,11.372,-17.647,29.019,1.089,22.1,7.5,0.0,0.0,49,49,35,36,28,15,3,714.285714
28.5,90.0,-1.876,12.44,-15.501,27.941,1.242,10.2,6.8,0.0,0.0,1,1,1,1,1,1,1,1000.0
31.0,69.0,16.505,33.177,0.414,32.763,0.634,4.5,7.9,0.0,0.0,9,9,3,3,2,2,1,333.333333
31.0,72.0,26.854,41.886,11.026,30.86,0.808,6.5,8.0,0.0,0.0,57,57,23,23,17,14,5,403.508772
