latitude,longitude,temperature_c,temperature_max_c,temperature_min_c,temperature_range_c,precipitation_mm_day,soil_organic_carbon_g_per_kg,soil_ph,soil_source_distance_m,soil_ph_source_distance_m,land_cover_class,land_cover_label,is_terrestrial,land_cover_status,gbif_occurrence_records,gbif_sampled_records,observed_species_count_sample,observed_genera_count_sample,observed_families_count_sample,observed_orders_count_sample,observed_kingdom_count_sample,species_per_1000_records,gbif_observation_effort,gbif_species_observed,gbif_has_observations
17.0,73.5,25.463,38.073,15.232,22.841,5.742,17.5,6.2,0.0,0.0,10,tree_cover,True,available,822,300,124,111,63,30,3,150.851582,822,124,True
24.5,70.5,27.852,42.178,13.81,28.368,1.027,3.7,8.0,0.0,0.0,60,bare_sparse_vegetation,True,available,1,1,1,1,1,1,1,1000.0,1,1,True
29.5,74.5,26.771,41.756,11.543,30.213,0.992,5.0,8.0,0.0,0.0,40,cropland,True,available,209,209,114,83,45,22,2,545.454545,209,114,True
15.5,75.5,25.599,37.945,14.527,23.418,1.854,12.3,8.0,0.0,0.0,40,cropland,True,available,309,300,77,66,39,19,2,249.190939,309,77,True
20.5,77.5,26.702,39.964,13.833,26.131,2.542,7.8,7.5,0.0,0.0,40,cropland,True,available,1974,300,81,73,40,19,2,41.033435,1974,81,True
22.5,77.5,26.223,40.223,12.621,27.602,3.531,6.6,7.4,0.0,0.0,40,cropland,True,available,81,81,37,38,27,15,2,456.790123,81,37,True
24.5,77.5,25.058,39.862,11.169,28.693,2.655,5.8,7.5,0.0,0.0,40,cropland,True,available,2,2,2,2,2,2,2,1000.0,2,2,True
26.5,78.5,26.625,42.241,11.998,30.243,1.852,6.9,7.8,0.0,0.0,40,cropland,True,available,90,90,40,34,25,13,1,444.444444,90,40,True
28.5,78.5,25.346,40.908,11.272,29.636,2.316,9.7,7.4,0.0,0.0,40,cropland,True,available,32,32,17,17,15,9,2,531.25,32,17,True
30.5,78.5,13.47,26.688,1.372,25.316,3.532,32.9,6.0,0.0,0.0,10,tree_cover,True,available,372,300,93,75,40,16,2,250.0,372,93,True
10.5,76.5,26.946,35.275,20.53,14.745,6.208,28.6,5.3,0.0,0.0,10,tree_cover,True,available,31760,300,151,127,77,39,2,4.754408,31760,151,True
12.5,76.5,23.214,34.953,13.739,21.214,4.372,10.2,7.5,0.0,0.0,30,grassland,True,available,24635,300,121,105,60,32,2,4.911711,24635,121,True
14.5,76.5,25.167,37.437,14.49,22.947,1.914,10.3,6.8,0.0,0.0,20,shrubland,True,available,173,173,57,55,34,15,3,329.479769,173,57,True
10.5,79.5,28.332,37.599,21.049,16.55,2.78,19.6,6.1,0.0,0.0,40,cropland,True,available,5662,300,80,71,45,18,2,14.129283,5662,80,True
12.5,79.5,27.295,39.805,17.643,22.162,2.993,16.4,6.9,0.0,0.0,40,cropland,True,available,648,300,93,80,51,24,3,143.518519,648,93,True
