latitude,longitude
8.5,69.0
8.5,72.0
8.5,75.0
8.5,78.0
8.5,81.0
8.5,84.0
8.5,87.0
8.5,90.0
11.0,69.0
11.0,72.0
11.0,75.0
11.0,78.0
11.0,81.0
11.0,84.0
11.0,87.0
11.0,90.0
13.5,69.0
13.5,72.0
13.5,75.0
13.5,78.0
13.5,81.0
13.5,84.0
13.5,87.0
13.5,90.0
16.0,69.0
16.0,72.0
16.0,75.0
16.0,78.0
16.0,81.0
16.0,84.0
16.0,87.0
16.0,90.0
18.5,69.0
18.5,72.0
18.5,75.0
18.5,78.0
18.5,81.0
18.5,84.0
18.5,87.0
18.5,90.0
21.0,69.0
21.0,72.0
21.0,75.0
21.0,78.0
21.0,81.0
21.0,84.0
21.0,87.0
21.0,90.0
23.5,69.0
23.5,72.0
23.5,75.0
23.5,78.0
23.5,81.0
23.5,84.0
23.5,87.0
23.5,90.0
26.0,69.0
26.0,72.0
26.0,75.0
26.0,78.0
26.0,81.0
26.0,84.0
26.0,87.0
26.0,90.0
28.5,69.0
28.5,72.0
28.5,75.0
28.5,78.0
28.5,81.0
28.5,84.0
28.5,87.0
28.5,90.0
31.0,69.0
31.0,72.0
31.0,75.0
31.0,78.0
31.0,81.0
31.0,84.0
31.0,87.0
31.0,90.0
33.5,69.0
33.5,72.0
33.5,75.0
33.5,78.0
33.5,81.0
33.5,84.0
33.5,87.0
33.5,90.0
